"","histone","state","peak_count","total_peak","total_ch","peak"
"1","H3K27ac-human_GM12878_ENCFF001SUG","1_Pro_iHMM_GM12878",43849,56069,46202532,"H3K27ac"
"2","H3K27ac-human_GM12878_ENCFF001SUG","10_Rep1_iHMM_GM12878",1134,56069,23265451,"H3K27ac"
"3","H3K27ac-human_GM12878_ENCFF001SUG","11_Rep2_iHMM_GM12878",2125,56069,357828059,"H3K27ac"
"4","H3K27ac-human_GM12878_ENCFF001SUG","12_Het1_iHMM_GM12878",3582,56069,60241709,"H3K27ac"
"5","H3K27ac-human_GM12878_ENCFF001SUG","13_Het2_iHMM_GM12878",2310,56069,185278244,"H3K27ac"
"6","H3K27ac-human_GM12878_ENCFF001SUG","14_Low1_iHMM_GM12878",750,56069,354762932,"H3K27ac"
"7","H3K27ac-human_GM12878_ENCFF001SUG","15_Low2_iHMM_GM12878",4371,56069,570455209,"H3K27ac"
"8","H3K27ac-human_GM12878_ENCFF001SUG","16_Low3_iHMM_GM12878",975,56069,48345445,"H3K27ac"
"9","H3K27ac-human_GM12878_ENCFF001SUG","17_Unmap_iHMM_GM12878",92405,56069,727072978,"H3K27ac"
"10","H3K27ac-human_GM12878_ENCFF001SUG","2_Enh1_iHMM_GM12878",61609,56069,69442161,"H3K27ac"
"11","H3K27ac-human_GM12878_ENCFF001SUG","3_Enh2_iHMM_GM12878",18536,56069,94941407,"H3K27ac"
"12","H3K27ac-human_GM12878_ENCFF001SUG","4_Egn1_iHMM_GM12878",37357,56069,55600976,"H3K27ac"
"13","H3K27ac-human_GM12878_ENCFF001SUG","5_Egn2_iHMM_GM12878",12882,56069,40028756,"H3K27ac"
"14","H3K27ac-human_GM12878_ENCFF001SUG","6_Egn3_iHMM_GM12878",1173,56069,180155677,"H3K27ac"
"15","H3K27ac-human_GM12878_ENCFF001SUG","7_Egn4_iHMM_GM12878",10767,56069,97075950,"H3K27ac"
"16","H3K27ac-human_GM12878_ENCFF001SUG","8_Egn5_iHMM_GM12878",917,56069,30156712,"H3K27ac"
"17","H3K27ac-human_GM12878_ENCFF001SUG","9_Egn6_iHMM_GM12878",6894,56069,150264385,"H3K27ac"
"18","H3K27me3-human_GM12878_ENCFF001SUI","1_Pro_iHMM_GM12878",7363,41464,46202532,"H3K27me3"
"19","H3K27me3-human_GM12878_ENCFF001SUI","10_Rep1_iHMM_GM12878",27640,41464,23265451,"H3K27me3"
"20","H3K27me3-human_GM12878_ENCFF001SUI","11_Rep2_iHMM_GM12878",221220,41464,357828059,"H3K27me3"
"21","H3K27me3-human_GM12878_ENCFF001SUI","12_Het1_iHMM_GM12878",21962,41464,60241709,"H3K27me3"
"22","H3K27me3-human_GM12878_ENCFF001SUI","13_Het2_iHMM_GM12878",33850,41464,185278244,"H3K27me3"
"23","H3K27me3-human_GM12878_ENCFF001SUI","14_Low1_iHMM_GM12878",257752,41464,354762932,"H3K27me3"
"24","H3K27me3-human_GM12878_ENCFF001SUI","15_Low2_iHMM_GM12878",77051,41464,570455209,"H3K27me3"
"25","H3K27me3-human_GM12878_ENCFF001SUI","16_Low3_iHMM_GM12878",12635,41464,48345445,"H3K27me3"
"26","H3K27me3-human_GM12878_ENCFF001SUI","17_Unmap_iHMM_GM12878",575269,41464,727072978,"H3K27me3"
