"","ind","set","c","bp","coverage"
"1",1,"All_reads",5902578344,3e+09,1.96752611466667
"2",1,"H2AFZ-human_GM12878_ENCFF001SUD",584549872,288036491,2.0294299169198
"3",1,"H2AFZ-human_lung_ENCFF888SIA",131779974,48896494,2.69508022395225
"4",1,"H3F3A-human_lung_ENCFF926ZHI",252142589,103936536,2.4259283472753
"5",1,"H3K27ac-human_GM12878_ENCFF001SUG",308984249,166141897,1.85976117150029
"6",1,"H3K27ac-human_lung_ENCFF371BKL",205543962,89536868,2.29563493331038
"7",1,"H3K27me3-human_GM12878_ENCFF001SUI",2275068696,1022773586,2.2244108834465
"8",1,"H3K27me3-human_lung_ENCFF468ZHH",343560897,146540119,2.34448354037436
"9",1,"H3K36me3-human_GM12878_ENCFF001SUJ",1144597776,580278190,1.9724983563487
"10",1,"H3K36me3-human_GM12878_ENCFF001WYF",331456015,96031201,3.45154503482675
"11",1,"H3K36me3-human_GM12878_ENCFF001WYH",330690642,94013533,3.51747914845408
"12",1,"H3K36me3-human_lung_ENCFF457NNG",145741240,59362744,2.45509607844274
"13",1,"H3K4me1-human_GM12878_ENCFF001SUE",741580373,368077180,2.01474150883247
"14",1,"H3K4me1-human_lung_ENCFF209XDL",300911769,128997637,2.33269210194912
"15",1,"H3K4me2-human_GM12878_ENCFF001SUL",395776415,213945450,1.84989405009548
"16",1,"H3K4me2-human_lung_ENCFF270NMV",254372706,112466077,2.26177272992282
"17",1,"H3K4me3-human_GM12878_ENCFF001SUF",481719296,245538981,1.96188521284121
"18",1,"H3K4me3-human_GM12878_ENCFF001SUM",350960589,185179234,1.89524808705062
"19",1,"H3K4me3-human_lung_ENCFF347EMU",110647658,50370689,2.19666755005078
"20",1,"H3K4me3-human_lung_ENCFF361TGO",92139488,41775242,2.20560034098665
"21",1,"H3K79me2-human_GM12878_ENCFF001SUN",564121071,288163197,1.95764440731132
"22",1,"H3K79me2-human_lung_ENCFF292NSP",240409534,107574476,2.23481947520711
"23",1,"H3K9ac-human_GM12878_ENCFF001SUO",239309313,133249659,1.79594690745137
"24",1,"H3K9ac-human_lung_ENCFF555OKO",116115746,51487077,2.2552405917314
"25",1,"H3K9me2-human_lung_ENCFF447MUW",23992520,7775978,3.08546654838787
"26",1,"H3K9me3-human_GM12878_ENCFF001SUP",1175729411,539366538,2.17983380162898
"27",1,"H3K9me3-human_lung_ENCFF813YSM",80123005,30399782,2.63564406481599
"28",1,"H4K20me1-human_GM12878_ENCFF001SUQ",1550230843,722115670,2.14679019913804
"29",1,"H4K20me1-human_lung_ENCFF272PZA",109280397,45394239,2.40736268318101
"30",1,"10_Rep1_iHMM_GM12878",58662574,23265451,2.52144581250542
"31",1,"11_Rep2_iHMM_GM12878",962384564,357828059,2.68951676592807
"32",1,"12_Het1_iHMM_GM12878",163365198,60241709,2.71182874310555
"33",1,"13_Het2_iHMM_GM12878",477659210,185278244,2.57806421135986
"34",1,"14_Low1_iHMM_GM12878",919760088,354762932,2.59260482152064
"35",1,"15_Low2_iHMM_GM12878",1412187484,570455209,2.47554490119486
"36",1,"16_Low3_iHMM_GM12878",113119012,48345445,2.33980702835603
"37",1,"17_Unmap_iHMM_GM12878",1015015776,727072978,1.39603011900134
"38",1,"1_Pro_iHMM_GM12878",87877307,46202532,1.90200197253259
"39",1,"2_Enh1_iHMM_GM12878",176976184,69442161,2.5485408497008
"40",1,"3_Enh2_iHMM_GM12878",249797238,94941407,2.63106736979367
"41",1,"4_Egn1_iHMM_GM12878",136926163,55600976,2.46265754399707
