"","feature","peak","peaks","total_bp","tot_peak","subfam","fam","fam2"
"1","(CATTC)n#Satellite","H3K27ac",18,62078,214,"Satellite","Satellite","Satellite"
"2","(CATTC)n#Satellite","H3K27me3",8,62078,214,"Satellite","Satellite","Satellite"
"3","(CATTC)n#Satellite","H3K36me3",30,62078,214,"Satellite","Satellite","Satellite"
"4","(CATTC)n#Satellite","H3K4me1",39,62078,214,"Satellite","Satellite","Satellite"
"5","(CATTC)n#Satellite","H3K4me2",26,62078,214,"Satellite","Satellite","Satellite"
"6","(CATTC)n#Satellite","H3K4me3",6,62078,214,"Satellite","Satellite","Satellite"
"7","(CATTC)n#Satellite","H3K79me2",8,62078,214,"Satellite","Satellite","Satellite"
"8","(CATTC)n#Satellite","H3K9ac",30,62078,214,"Satellite","Satellite","Satellite"
"9","(CATTC)n#Satellite","H3K9me3",4,62078,214,"Satellite","Satellite","Satellite"
"10","(CATTC)n#Satellite","H4K20me1",45,62078,214,"Satellite","Satellite","Satellite"
"11","(GAATG)n#Satellite","H3K27ac",3,3246,66,"Satellite","Satellite","Satellite"
"12","(GAATG)n#Satellite","H3K27me3",8,3246,66,"Satellite","Satellite","Satellite"
"13","(GAATG)n#Satellite","H3K36me3",6,3246,66,"Satellite","Satellite","Satellite"
"14","(GAATG)n#Satellite","H3K4me1",7,3246,66,"Satellite","Satellite","Satellite"
"15","(GAATG)n#Satellite","H3K4me2",4,3246,66,"Satellite","Satellite","Satellite"
"16","(GAATG)n#Satellite","H3K4me3",13,3246,66,"Satellite","Satellite","Satellite"
"17","(GAATG)n#Satellite","H3K79me2",0,3246,66,"Satellite","Satellite","Satellite"
"18","(GAATG)n#Satellite","H3K9ac",5,3246,66,"Satellite","Satellite","Satellite"
"19","(GAATG)n#Satellite","H3K9me3",14,3246,66,"Satellite","Satellite","Satellite"
"20","(GAATG)n#Satellite","H4K20me1",6,3246,66,"Satellite","Satellite","Satellite"
"21","5S#rRNA","H3K27ac",73,154166,2054,"rRNA","rRNA","RNA
Elements"
"22","5S#rRNA","H3K27me3",460,154166,2054,"rRNA","rRNA","RNA
Elements"
"23","5S#rRNA","H3K36me3",281,154166,2054,"rRNA","rRNA","RNA
Elements"
"24","5S#rRNA","H3K4me1",185,154166,2054,"rRNA","rRNA","RNA
Elements"
"25","5S#rRNA","H3K4me2",91,154166,2054,"rRNA","rRNA","RNA
Elements"
"26","5S#rRNA","H3K4me3",202,154166,2054,"rRNA","rRNA","RNA
Elements"
"27","5S#rRNA","H3K79me2",128,154166,2054,"rRNA","rRNA","RNA
Elements"
"28","5S#rRNA","H3K9ac",68,154166,2054,"rRNA","rRNA","RNA
Elements"
"29","5S#rRNA","H3K9me3",273,154166,2054,"rRNA","rRNA","RNA
Elements"
"30","5S#rRNA","H4K20me1",293,154166,2054,"rRNA","rRNA","RNA
Elements"
"31","7SK#snRNA","H3K27ac",34,214230,1149,"snRNA","snRNA","RNA
Elements"
"32","7SK#snRNA","H3K27me3",294,214230,1149,"snRNA","snRNA","RNA
Elements"
"33","7SK#snRNA","H3K36me3",128,214230,1149,"snRNA","snRNA","RNA
Elements"
"34","7SK#snRNA","H3K4me1",91,214230,1149,"snRNA","snRNA","RNA
Elements"
"35","7SK#snRNA","H3K4me2",50,214230,1149,"snRNA","snRNA","RNA
Elements"
"36","7SK#snRNA","H3K4me3",108,214230,1149,"snRNA","snRNA","RNA
Elements"
"37","7SK#snRNA","H3K79me2",67,214230,1149,"snRNA","snRNA","RNA
Elements"
"38","7SK#snRNA","H3K9ac",34,214230,1149,"snRNA","snRNA","RNA
Elements"
"39","7SK#snRNA","H3K9me3",157,214230,1149,"snRNA","snRNA","RNA
Elements"
"40","7SK#snRNA","H4K20me1",186,214230,1149,"snRNA","snRNA","RNA
Elements"
"41","7SLRNA#srpRNA","H3K27ac",184,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"42","7SLRNA#srpRNA","H3K27me3",592,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"43","7SLRNA#srpRNA","H3K36me3",643,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"44","7SLRNA#srpRNA","H3K4me1",384,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"45","7SLRNA#srpRNA","H3K4me2",215,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"46","7SLRNA#srpRNA","H3K4me3",433,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"47","7SLRNA#srpRNA","H3K79me2",356,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"48","7SLRNA#srpRNA","H3K9ac",137,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"49","7SLRNA#srpRNA","H3K9me3",354,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"50","7SLRNA#srpRNA","H4K20me1",552,612215,3850,"srpRNA","srpRNA","RNA
Elements"
"51","ACRO1#Satellite_acro","H3K27ac",0,16379,51,"Satellite_acro","Satellite","Satellite"
"52","ACRO1#Satellite_acro","H3K27me3",3,16379,51,"Satellite_acro","Satellite","Satellite"
"53","ACRO1#Satellite_acro","H3K36me3",3,16379,51,"Satellite_acro","Satellite","Satellite"
"54","ACRO1#Satellite_acro","H3K4me1",2,16379,51,"Satellite_acro","Satellite","Satellite"
"55","ACRO1#Satellite_acro","H3K4me2",0,16379,51,"Satellite_acro","Satellite","Satellite"
"56","ACRO1#Satellite_acro","H3K4me3",14,16379,51,"Satellite_acro","Satellite","Satellite"
"57","ACRO1#Satellite_acro","H3K79me2",1,16379,51,"Satellite_acro","Satellite","Satellite"
"58","ACRO1#Satellite_acro","H3K9ac",1,16379,51,"Satellite_acro","Satellite","Satellite"
"59","ACRO1#Satellite_acro","H3K9me3",18,16379,51,"Satellite_acro","Satellite","Satellite"
"60","ACRO1#Satellite_acro","H4K20me1",9,16379,51,"Satellite_acro","Satellite","Satellite"
"61","ALR_Alpha#Satellite_centr","H3K27ac",66,5364266,2510,"Satellite_centr","Satellite","Satellite"
"62","ALR_Alpha#Satellite_centr","H3K27me3",227,5364266,2510,"Satellite_centr","Satellite","Satellite"
"63","ALR_Alpha#Satellite_centr","H3K36me3",216,5364266,2510,"Satellite_centr","Satellite","Satellite"
"64","ALR_Alpha#Satellite_centr","H3K4me1",149,5364266,2510,"Satellite_centr","Satellite","Satellite"
"65","ALR_Alpha#Satellite_centr","H3K4me2",69,5364266,2510,"Satellite_centr","Satellite","Satellite"
"66","ALR_Alpha#Satellite_centr","H3K4me3",710,5364266,2510,"Satellite_centr","Satellite","Satellite"
"67","ALR_Alpha#Satellite_centr","H3K79me2",50,5364266,2510,"Satellite_centr","Satellite","Satellite"
"68","ALR_Alpha#Satellite_centr","H3K9ac",102,5364266,2510,"Satellite_centr","Satellite","Satellite"
