NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	Details ...	198	0.27311018	4.477565	0.0	0.0	0.0	9316	tags=65%, list=38%, signal=103%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	128	0.33102313	4.378555	0.0	0.0	0.0	5009	tags=53%, list=20%, signal=66%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	Details ...	322	0.19532399	4.1456923	0.0	0.0	0.0	9316	tags=57%, list=38%, signal=90%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	87	0.36121607	3.993789	0.0	0.0	0.0	8179	tags=69%, list=33%, signal=103%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	72	0.36205435	3.6171856	0.0	0.0	0.0	9650	tags=75%, list=39%, signal=122%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	178	0.22803399	3.542426	0.0	0.0	0.0	10411	tags=65%, list=42%, signal=111%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	Details ...	208	0.21688241	3.53979	0.0	0.0	0.0	9096	tags=58%, list=37%, signal=91%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	124	0.2543906	3.4115474	0.0	0.0	0.0	8325	tags=59%, list=34%, signal=88%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION	Details ...	72	0.34281608	3.361747	0.0	0.0	0.0	12538	tags=85%, list=51%, signal=171%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	Details ...	92	0.2715738	3.1303067	0.0	0.0	0.0	9197	tags=64%, list=37%, signal=102%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	73	0.30079558	3.0891485	0.0	0.0	0.0	12950	tags=82%, list=52%, signal=171%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	106	0.24970216	3.076167	0.0	0.0	0.0	13023	tags=77%, list=52%, signal=162%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	87	0.28508008	3.0487022	0.0	0.0	0.0	11202	tags=74%, list=45%, signal=134%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	147	0.21286781	3.0456698	0.0	0.0	0.0	6057	tags=46%, list=24%, signal=60%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	171	0.1980664	2.9721115	0.0	0.0	0.0	8612	tags=54%, list=35%, signal=83%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION	Details ...	68	0.29856116	2.858424	0.0	0.0	0.0	5017	tags=50%, list=20%, signal=63%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	83	0.26354533	2.8531806	0.0	0.0	0.0	12314	tags=76%, list=50%, signal=150%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Details ...	70	0.29230282	2.850363	0.0	0.0	0.0	12261	tags=79%, list=49%, signal=155%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	81	0.267314	2.8292098	0.0	0.0	0.0	9316	tags=64%, list=38%, signal=102%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	132	0.20428392	2.8146615	0.0	0.0	0.0	6047	tags=45%, list=24%, signal=59%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		134	0.20907255	2.8023443	0.0	6.7607296E-5	0.001	13540	tags=75%, list=55%, signal=165%	
