"id" "n"
"1" "DO10172_normal" 19790615718
"2" "DO10172_tumor" 41386783028
"3" "DO10324_normal" 16819977518
"4" "DO10324_tumor" 18471191711
"5" "DO10486_normal" 18727792841
"6" "DO10486_tumor" 20889203857
"7" "DO10558_normal" 19372897382
"8" "DO10558_tumor" 16950966029
"9" "DO10631_normal" 19597467144
"10" "DO10631_tumor" 21616907925
"11" "DO10975_tumor" 36228528627
"12" "DO11202_normal" 19795957738
"13" "DO11794_tumor" 39840629282
"14" "DO12070_tumor" 18857160228
"15" "DO1249_normal" 18284362440
"16" "DO1249_tumor" 31763782586
"17" "DO1257_normal" 17021763991
"18" "DO1257_tumor" 29161974013
"19" "DO1274_normal" 18396973498
"20" "DO1274_tumor" 28099749173
"21" "DO1281_normal" 17917954520
"22" "DO1281_tumor" 26074512056
"23" "DO1287_normal" 16665383189
"24" "DO1287_tumor" 30417518137
"25" "DO1290_normal" 17713226441
"26" "DO1290_tumor" 28914956736
"27" "DO1291_normal" 16430994909
"28" "DO1291_tumor" 26744072750
"29" "DO1301_normal" 15680441506
"30" "DO1301_tumor" 20494307689
"31" "DO1328_normal" 20498919657
"32" "DO1328_tumor" 33062650585
"33" "DO1384_normal" 16585628492
"34" "DO1384_tumor" 22078984163
"35" "DO1392_normal" 17771310335
"36" "DO1392_tumor" 30409921565
"37" "DO14159_normal" 21877146567
"38" "DO14159_tumor" 34218469097
"39" "DO14171_normal" 22214666723
"40" "DO14171_tumor" 36472666953
"41" "DO14192_normal" 21915044890
"42" "DO14192_tumor" 34808713708
"43" "DO14204_normal" 15856717209
"44" "DO14204_tumor" 38984747308
"45" "DO14232_normal" 18763341403
"46" "DO14232_tumor" 36856227452
"47" "DO14236_normal" 18997794379
"48" "DO14236_tumor" 37224698770
"49" "DO14238_normal" 15663962452
"50" "DO14238_tumor" 40689479579
"51" "DO14242_normal" 19691125881
"52" "DO14242_tumor" 41549277603
"53" "DO14250_normal" 22255038707
"54" "DO14250_tumor" 36201791532
"55" "DO14264_normal" 20278968464
"56" "DO14264_tumor" 28798451150
"57" "DO14282_normal" 22265425289
"58" "DO14282_tumor" 18563422588
"59" "DO14296_normal" 22549675986
"60" "DO14296_tumor" 23368651857
"61" "DO14343_normal" 17235098577
"62" "DO14343_tumor" 36761559017
"63" "DO14420_normal" 21652094079
"64" "DO14420_tumor" 22610406607
"65" "DO14502_normal" 16397808879
"66" "DO14502_tumor" 30564118581
"67" "DO14566_normal" 27233183232
"68" "DO14566_tumor" 21895981101
"69" "DO14582_normal" 19222285625
"70" "DO14582_tumor" 35127649691
"71" "DO14614_normal" 20818316597
"72" "DO14614_tumor" 31720456629
"73" "DO14678_normal" 18590748116
"74" "DO14678_tumor" 35775976259
"75" "DO14686_normal" 22338029374
"76" "DO14686_tumor" 21350022657
"77" "DO14718_normal" 15638834387
"78" "DO14718_tumor" 39089757187
"79" "DO14742_normal" 19586447750
"80" "DO14742_tumor" 39807757272
"81" "DO14750_normal" 21824851034
"82" "DO14750_tumor" 37271618615
"83" "DO14814_normal" 19413568610
"84" "DO14814_tumor" 37707001846
"85" "DO14862_normal" 21142246247
"86" "DO14862_tumor" 35181183746
"87" "DO14942_normal" 20156957298
"88" "DO14942_tumor" 34609035284
"89" "DO15014_normal" 20920956125
"90" "DO15014_tumor" 36826952848
"91" "DO15022_normal" 16097228595
"92" "DO15022_tumor" 38277911107
"93" "DO15046_normal" 21329357768
"94" "DO15046_tumor" 36671051317
"95" "DO15110_normal" 18462364372
"96" "DO15110_tumor" 42050640684
"97" "DO15198_normal" 19494614863
"98" "DO15198_tumor" 22049809901
"99" "DO1537_normal" 18323649072
"100" "DO1537_tumor" 31219240747
"101" "DO15398_normal" 21132678391
"102" "DO15398_tumor" 31751251914
"103" "DO15414_normal" 19671478308
"104" "DO15414_tumor" 31880873574
"105" "DO15430_normal" 19196149391
"106" "DO15430_tumor" 39716971733
"107" "DO15503_normal" 18568976155
"108" "DO15503_tumor" 22094692062
"109" "DO15527_normal" 17902791905
"110" "DO15527_tumor" 33813759341
"111" "DO15591_normal" 21759732492
"112" "DO15591_tumor" 33573350776
"113" "DO1559_normal" 19895019483
"114" "DO1559_tumor" 18625275769
"115" "DO15791_normal" 20249111502
"116" "DO15791_tumor" 37848469448
"117" "DO15815_normal" 21544711714
"118" "DO15815_tumor" 32986008013
"119" "DO15870_normal" 20946698174
"120" "DO15870_tumor" 20082300994
"121" "DO15911_normal" 20242615258
"122" "DO15911_tumor" 19732229233
"123" "DO15943_normal" 19428724547
"124" "DO15943_tumor" 34123945154
"125" "DO16015_normal" 17421941612
"126" "DO16015_tumor" 37931626005
"127" "DO16113_normal" 19081751960
"128" "DO1663_normal" 20637575319
"129" "DO1663_tumor" 32478159136
"130" "DO18392_normal" 17173956497
"131" "DO18572_normal" 18327812122
"132" "DO1954_normal" 19332404604
"133" "DO1954_tumor" 15399204931
"134" "DO2055_normal" 21387771823
