"","feature","total_kmers"
"1","(CATTC)n#Satellite",12668.7984496124
"2","(GAATG)n#Satellite",23990.0775193798
"3","5S#rRNA",770.232558139535
"4","7SK#snRNA",983.100775193798
"5","7SLRNA#srpRNA",2322.44186046512
"6","ACRO1#Satellite_acro",99.922480620155
"7","ALR_Alpha#Satellite_centr",1809655.03875969
"8","Alu-VAR_rnd-5_family-1084#SINE_Alu",8.17829457364341
"9","Alu#SINE_Alu",5119.34108527132
"10","AluJb#SINE_Alu",174873.565891473
"11","AluJo#SINE_Alu",9644.6511627907
"12","AluJr#SINE_Alu",9437.59689922481
"13","AluJr4#SINE_Alu",4597.63565891473
"14","AluSc#SINE_Alu",4895.42635658915
"15","AluSc5#SINE_Alu",974.37984496124
"16","AluSc8#SINE_Alu",5515.85271317829
"17","AluSg#SINE_Alu",7879.61240310077
"18","AluSg4#SINE_Alu",2073.64341085271
"19","AluSg7#SINE_Alu",1372.20930232558
"20","AluSp#SINE_Alu",8208.02325581395
"21","AluSq#SINE_Alu",4081.58914728682
"22","AluSq10#SINE_Alu",738.875968992248
"23","AluSq2#SINE_Alu",6009.3023255814
"24","AluSq4#SINE_Alu",414.457364341085
"25","AluSx#SINE_Alu",101836.201550388
"26","AluSx1#SINE_Alu",10994.1472868217
"27","AluSx3#SINE_Alu",4678.99224806202
"28","AluSx4#SINE_Alu",2306.12403100775
"29","AluSz#SINE_Alu",11310.4651162791
"30","AluSz6#SINE_Alu",10291.2015503876
"31","AluY#SINE_Alu",39949.1085271318
"32","AluYa5#SINE_Alu",664.22480620155
"33","AluYa8#SINE_Alu",351.705426356589
"34","AluYb8#SINE_Alu",687.248062015504
"35","AluYb9#SINE_Alu",41.9767441860465
"36","AluYc#SINE_Alu",680.968992248062
"37","AluYc3#SINE_Alu",300.193798449612
"38","AluYd8#SINE_Alu",52.2093023255814
"39","AluYe5#SINE_Alu",1513.91472868217
"40","AluYe6#SINE_Alu",86.3565891472868
"41","AluYf1#SINE_Alu",159.37984496124
"42","AluYg6#SINE_Alu",548.992248062016
"43","AluYh3#SINE_Alu",402.131782945736
"44","AluYh7#SINE_Alu",549.263565891473
"45","AluYh9#SINE_Alu",373.372093023256
"46","AluYi6_4d#SINE_Alu",56.3178294573643
"47","AluYi6#SINE_Alu",238.333333333333
"48","AluYj4#SINE_Alu",324.108527131783
"49","AluYk11#SINE_Alu",115.852713178295
"50","AluYk12#SINE_Alu",206.395348837209
"51","AluYk2#SINE_Alu",2104.18604651163
"52","AluYk3#SINE_Alu",1267.90697674419
"53","AluYk4#SINE_Alu",305.503875968992
"54","AluYm1#SINE_Alu",411.472868217054
"55","AmnHarb1#DNA_PIF-Harbinger",1335.46511627907
"56","AmnL2-1#LINE_L2",16066.4341085271
"57","AmnSINE1#SINE_5S-Deu-L2",10168.4108527132
"58","AmnSINE2#SINE_tRNA-Deu",1389.49612403101
"59","Arthur1#DNA_hAT-Tip100",34438.7984496124
"60","Arthur1A#DNA_hAT-Tip100",1007.48062015504
"61","Arthur1B#DNA_hAT-Tip100",6927.13178294574
"62","Arthur1C#DNA_hAT-Tip100",908.410852713178
"63","Arthur2#DNA_hAT-Tip100",16904.8449612403
"64","BC200#scRNA",181.550387596899
"65","BLACKJACK#DNA_hAT-Blackjack",18695.9302325581
"66","BSR_Beta#Satellite",172688.217054264
"67","CER#Satellite",19641.4341085271
"68","Chap1_Mam#DNA_hAT-Charlie",1061.86046511628
"69","Chap1a_Mam#DNA_hAT-Charlie",5691.47286821705
"70","Charlie1#DNA_hAT-Charlie",15997.0542635659
"71","Charlie10#DNA_hAT-Charlie",9711.66666666667
"72","Charlie10a#DNA_hAT-Charlie",297.519379844961
"73","Charlie10b#DNA_hAT-Charlie",242.131782945736
"74","Charlie11#DNA_hAT-Charlie",644.883720930233
"75","Charlie12#DNA_hAT-Charlie",107.635658914729
"76","Charlie13a#DNA_hAT-Charlie",2661.08527131783
"77","Charlie13b#DNA_hAT-Charlie",1395.11627906977
"78","Charlie14a#DNA_hAT-Charlie",2301.86046511628
"79","Charlie15a#DNA_hAT-Charlie",3897.01550387597
"80","Charlie15b#DNA_hAT-Charlie",9115.54263565891
"81","Charlie16#DNA_hAT-Charlie",14724.8837209302
"82","Charlie16a#DNA_hAT-Charlie",2755.54263565891
"83","Charlie17#DNA_hAT-Charlie",4174.96124031008
"84","Charlie17a#DNA_hAT-Charlie",1356.2015503876
"85","Charlie17b#DNA_hAT-Charlie",2367.59689922481
"86","Charlie18a#DNA_hAT-Charlie",5116.78294573643
"87","Charlie19a#DNA_hAT-Charlie",3311.31782945736
"88","Charlie1a#DNA_hAT-Charlie",27010
"89","Charlie1b#DNA_hAT-Charlie",4479.96124031008
"90","Charlie20a#DNA_hAT-Charlie",2779.03100775194
"91","Charlie21a#DNA_hAT-Charlie",3030.07751937984
"92","Charlie22a#DNA_hAT-Charlie",2883.64341085271
"93","Charlie23a#DNA_hAT-Charlie",2874.49612403101
"94","Charlie24#DNA_hAT-Charlie",13846.976744186
"95","Charlie25#DNA_hAT-Charlie",11268.3720930233
"96","Charlie26a#DNA_hAT-Charlie",905.581395348837
"97","Charlie29a#DNA_hAT-Charlie",3361.51162790698
"98","Charlie29b#DNA_hAT-Charlie",5397.63565891473
"99","Charlie2a#DNA_hAT-Charlie",18987.7906976744
"100","Charlie2b#DNA_hAT-Charlie",18922.6744186046
"101","Charlie3#DNA_hAT-Charlie",2949.57364341085
"102","Charlie30a#DNA_hAT-Charlie",2035.81395348837
"103","Charlie30b#DNA_hAT-Charlie",3976.82170542636
"104","Charlie31a#DNA_hAT-Charlie",1918.7984496124
"105","Charlie32a#DNA_hAT-Charlie",509.031007751938
"106","Charlie4#DNA_hAT-Charlie",7013.17829457364
"107","Charlie4a#DNA_hAT-Charlie",5967.86821705426
"108","Charlie4z#DNA_hAT-Charlie",5628.37209302326
"109","Charlie5#DNA_hAT-Charlie",24056.007751938
"110","Charlie6#DNA_hAT-Charlie",2134.61240310078
"111","Charlie7#DNA_hAT-Charlie",36115
"112","Charlie7a#DNA_hAT-Charlie",2221.04651162791
"113","Charlie7b_Mars#DNA_hAT-Charlie",82.6356589147287
"114","Charlie8#DNA_hAT-Charlie",34393.9534883721
"115","Charlie9#DNA_hAT-Charlie",7600.6976744186
"116","Cheshire#DNA_hAT-Charlie",7309.10852713178
"117","Chompy-6_Croc#DNA_PIF-Harbinger",37.0542635658915
"118","COMP-subunit_LSAU-BSAT_rnd-1_family-1#Satellite",18960.3875968992
"119","COMP-subunit_LSAU-BSAT_rnd-1_family-10#Satellite",52.4031007751938
"120","COMP-subunit_LSAU-BSAT_rnd-1_family-4#Satellite",3944.3023255814
"121","COMP-subunit_LSAU-BSAT_rnd-6_family-5403#Satellite",337.790697674419
"122","CR1_Mam#LINE_CR1",15240.6589147287
"123","CR1-1_Amn#LINE_CR1",718.294573643411
"124","CR1-11_Crp#LINE_CR1",227.364341085271
"125","CR1-12_AMi#LINE_CR1",454.767441860465
"126","CR1-13_AMi#LINE_CR1",473.139534883721
"127","CR1-16_AMi#LINE_CR1",1944.76744186047
"128","CR1-3_Croc#LINE_CR1",7296.16279069767
"129","CR1-L3A_Croc#LINE_CR1",817.906976744186
"130","CR1-L3B_Croc#LINE_CR1",430.426356589147
"131","D20S16#Satellite",245.813953488372
"132","DNA1_Mam#DNA_TcMar",4.61240310077519
"133","DNA1_Mam#DNA_TcMar-Tc1",298.410852713178
"134","ERV24_Prim-int#LTR_ERV1",2580.96899224806
"135","ERV24B_Prim-int#LTR_ERV1",3457.13178294574
"136","ERV3-16A3_I#LTR_ERVL",41111.9379844961
"137","ERV3-16A3_LTR#LTR_ERVL",4020.73643410853
"138","ERVL-B4-int#LTR_ERVL",23055.0387596899
"139","ERVL-E-int#LTR_ERVL",106373.720930233
"140","ERVL-int#LTR_ERVL",7070.50387596899
"141","ERVL47-int#LTR_ERVL",362.713178294574
"142","Eulor1#DNA",265.581395348837
"143","Eulor10#DNA",92.4806201550388
"144","Eulor11#DNA",528.488372093023
"145","Eulor12#DNA",164.186046511628
"146","Eulor2A#DNA",151.046511627907
"147","Eulor2B#DNA",148.023255813953
"148","Eulor2B#DNA?",5.50387596899225
"149","Eulor2C#DNA",80.4651162790698
"150","Eulor3#DNA",76.3178294573643
"151","Eulor5A#DNA_Crypton-A",297.170542635659
"152","Eulor5A#DNA?",16.9767441860465
"153","Eulor5B#DNA_Crypton-A",121.356589147287
"154","Eulor6A#DNA_Crypton",127.906976744186
"155","Eulor6B#DNA_Crypton",180.77519379845
"156","Eulor6C#DNA_Crypton",19.1860465116279
"157","Eulor6D#DNA_Crypton",158.410852713178
"158","Eulor6E#DNA_Crypton",81.2015503875969
"159","Eulor7#DNA",19.7674418604651
"160","Eulor8#DNA_TcMar",818.372093023256
"161","Eulor9A#DNA",327.558139534884
"162","Eulor9B#DNA",50.0387596899225
"163","Eulor9C#DNA",355.232558139535
"164","EuthAT-2#DNA_hAT-Ac",8724.84496124031
"165","EuthAT-N1#DNA_hAT-Tip100",122.054263565891
"166","EuthAT-N1a#DNA_hAT-Tip100",56.046511627907
"167","Eutr10#LTR_ERVL",2908.60465116279
"168","Eutr11#DNA",2325.73643410853
"169","Eutr15#DNA_hAT-Tip100",2473.25581395349
"170","Eutr15#DNA_hAT-Tip100?",321.860465116279
"171","Eutr16#DNA_hAT-Tip100",1477.09302325581
"172","Eutr16#DNA?_hAT-Tip100?",253.604651162791
"173","Eutr18#LTR",2348.72093023256
"174","Eutr2#DNA",131.317829457364
"175","Eutr2#DNA_MULE-MuDR",498.410852713178
"176","Eutr2B#DNA",38.0232558139535
"177","Eutr2B#DNA_MULE-MuDR",2495
"178","Eutr5#LTR",1773.75968992248
"179","EUTREP15#LTR_ERV1",607.054263565891
"180","EUTREP16#LTR",893.372093023256
"181","EUTREP2#DNA_hAT",2181.70542635659
"182","EUTREP4#DNA_PiggyBac",1606.51162790698
"183","EUTREP7#LTR_ERV1",392.713178294574
"184","EUTREP8#LTR",726.821705426357
"185","EutTc1-N1#DNA_TcMar-Tc1",33.8759689922481
"186","EutTc1-N2#DNA_TcMar-Tc1",267.015503875969
"187","FAM#SINE_Alu",955.077519379845
"188","FLAM_A#SINE_Alu",1975.38759689922
"189","FLAM_C#SINE_Alu",11111.007751938
"190","FordPrefect_a#DNA_hAT-Tip100",438.565891472868
"191","FordPrefect#DNA_hAT-Tip100",5359.03100775194
"192","FRAM#SINE_Alu",6615.07751937984
"193","GSAT#Satellite_centr",8791.66666666667
"194","GSATII#Satellite_centr",1979.37984496124
"195","GSATX#Satellite_centr",3791.74418604651
"196","HAL1#LINE_L1",115553.953488372
"197","HAL1b#LINE_L1",27893.488372093
"198","HAL1M8#LINE_L1",6233.95348837209
"199","HAL1ME#LINE_L1",43174.5348837209
"200","Harlequin-int#LTR_ERV1",1665.85271317829
"201","hAT-1_Mam#DNA_hAT-Tag1",18505.8527131783
"202","hAT-4b_Ther#DNA_hAT-Tip100",956.511627906977
"203","hAT-5_Mam#DNA_hAT-Tag1",10767.4418604651
"204","hAT-N1_Mam#DNA_hAT-Tip100",541.201550387597
"205","hAT-N1a_Mam#DNA_hAT-Tip100",1050.3488372093
"206","Helitron1Na_Mam#RC_Helitron",931.201550387597
"207","Helitron1Nb_Mam#RC_Helitron",1085.65891472868
"208","Helitron2Na_Mam#RC_Helitron",1092.82945736434
"209","Helitron3Na_Mam#RC_Helitron",2644.84496124031
"210","HERV-Fc1_LTR1#LTR_ERV1",322.054263565891
"211","HERV-Fc1_LTR3#LTR_ERV1",11.7054263565891
"212","HERV-Fc1-int#LTR_ERV1",44.7674418604651
"213","HERV-Fc2_LTR#LTR_ERV1",272.635658914729
"214","HERV-Fc2-int#LTR_ERV1",487.945736434109
"215","HERV1_I#LTR_ERV1",555.852713178295
