"","feature","fam","bigfam","BLCA_perc_change","BLCA_mean_fold","BLCA_median_fold","BLCA_sd_fold","BLCA_mean_ratio","BLCA_median_ratio","BLCA_sd_ratio","BLCA_effsize","BLCA_magnitude","BLCA_p","BLCA_p.adj","BRCA_perc_change","BRCA_mean_fold","BRCA_median_fold","BRCA_sd_fold","BRCA_mean_ratio","BRCA_median_ratio","BRCA_sd_ratio","BRCA_effsize","BRCA_magnitude","BRCA_p","BRCA_p.adj","CESC_perc_change","CESC_mean_fold","CESC_median_fold","CESC_sd_fold","CESC_mean_ratio","CESC_median_ratio","CESC_sd_ratio","CESC_effsize","CESC_magnitude","CESC_p","CESC_p.adj","COAD-READ_perc_change","COAD-READ_mean_fold","COAD-READ_median_fold","COAD-READ_sd_fold","COAD-READ_mean_ratio","COAD-READ_median_ratio","COAD-READ_sd_ratio","COAD-READ_effsize","COAD-READ_magnitude","COAD-READ_p","COAD-READ_p.adj","HNSC_perc_change","HNSC_mean_fold","HNSC_median_fold","HNSC_sd_fold","HNSC_mean_ratio","HNSC_median_ratio","HNSC_sd_ratio","HNSC_effsize","HNSC_magnitude","HNSC_p","HNSC_p.adj","LIHC_perc_change","LIHC_mean_fold","LIHC_median_fold","LIHC_sd_fold","LIHC_mean_ratio","LIHC_median_ratio","LIHC_sd_ratio","LIHC_effsize","LIHC_magnitude","LIHC_p","LIHC_p.adj","LUAD_perc_change","LUAD_mean_fold","LUAD_median_fold","LUAD_sd_fold","LUAD_mean_ratio","LUAD_median_ratio","LUAD_sd_ratio","LUAD_effsize","LUAD_magnitude","LUAD_p","LUAD_p.adj","LUSC_perc_change","LUSC_mean_fold","LUSC_median_fold","LUSC_sd_fold","LUSC_mean_ratio","LUSC_median_ratio","LUSC_sd_ratio","LUSC_effsize","LUSC_magnitude","LUSC_p","LUSC_p.adj","OV_perc_change","OV_mean_fold","OV_median_fold","OV_sd_fold","OV_mean_ratio","OV_median_ratio","OV_sd_ratio","OV_effsize","OV_magnitude","OV_p","OV_p.adj","PRAD_perc_change","PRAD_mean_fold","PRAD_median_fold","PRAD_sd_fold","PRAD_mean_ratio","PRAD_median_ratio","PRAD_sd_ratio","PRAD_effsize","PRAD_magnitude","PRAD_p","PRAD_p.adj","STAD_perc_change","STAD_mean_fold","STAD_median_fold","STAD_sd_fold","STAD_mean_ratio","STAD_median_ratio","STAD_sd_ratio","STAD_effsize","STAD_magnitude","STAD_p","STAD_p.adj","THCA_perc_change","THCA_mean_fold","THCA_median_fold","THCA_sd_fold","THCA_mean_ratio","THCA_median_ratio","THCA_sd_ratio","THCA_effsize","THCA_magnitude","THCA_p","THCA_p.adj"
"1","CR1_Mam#LINE_CR1","LINE_CR1","LINE",0.739130434782609,1.62567124330542,1.0412989158967,2.37551503129979,1.59158860915169,1.01664993156738,2.38475167335806,0.0738203981142879,"negligible",0.55655074152081,0.74,0.846153846153846,1.03708798433382,1.02601257278114,0.0278444818048894,1.00201503713259,1.01555457784422,0.0440451440963478,-0.522529052158557,"moderate",0.000178076627592969,0.0017,0.9,1.04092199800258,1.03745127655806,0.0224163755990683,1.01962265463855,1.0278655866502,0.0426786925030083,-0.601509556573222,"moderate",0.055888438903383,0.16,0.8,1.04706574696811,1.03594067397799,0.0451866771178182,1.00688857822989,0.98119037787623,0.0645507999447585,0.106596710598099,"negligible",0.684177284065725,0.83,0.840909090909091,1.05714518867694,1.03064625662657,0.0956982196758928,1.03556536155199,1.02772681972253,0.10510488598522,-0.349834946656213,"small",0.245698654598809,0.46,0.666666666666667,1.03100164974223,1.02381792119533,0.0163850726436376,1.00839949148153,1.01846083273222,0.0335271944379914,0.584527208598914,"moderate",2.66122132995115e-07,8.7e-06,0.894736842105263,1.05379866859526,1.03816863841566,0.0669437183199405,1.00448977420282,0.986154714916948,0.0852093365459142,-0.2197360009002,"small",0.630932120531172,0.79,0.833333333333333,1.06751924298003,1.05535685476349,0.0453352142943313,1.04929903479124,1.04932104948013,0.0645712164328663,-0.391157343375164,"small",0.0199047751171057,0.074,0.738095238095238,1.03537004251468,1.02973503746092,0.0219529581274788,0.995221003544815,0.984655223263999,0.0401512179207222,0.0301864432429655,"negligible",0.989351130720715,1,0.947368421052632,1.04575703161349,1.03040827583253,0.0350872155891894,1.03963910244061,1.0288343481481,0.0420079534146507,0.122250495993277,"negligible",0.665016934065152,0.81,0.789473684210526,1.05006385000381,1.03650340815432,0.0361405269892741,1.01510642734668,1.02450817087638,0.058202815234957,0.117498085574932,"negligible",0.466120815861211,0.67,0.791666666666667,1.0338096299882,1.02719136627848,0.0238785657620099,1.0213319515958,1.02141810166329,0.0355480216667396,0.450001289710751,"small",0.0132079375721967,0.054
"2","CR1-1_Amn#LINE_CR1","LINE_CR1","LINE",0.695652173913043,1.73968697530888,1.0774875850333,2.45621509131062,1.67224068015813,1.00246960148329,2.47667741765312,0.135999848054846,"negligible",0.472117954704294,0.67,0.571428571428571,1.08680007563444,1.07499807696172,0.0481408226825133,0.955276991389553,0.942495377327037,0.0790026084940494,-0.685369994961948,"moderate",5.71897447031804e-07,1.6e-05,0.5,1.09575013821867,1.06951039915592,0.0603321503806614,0.929777567198933,0.935975765475553,0.0702478232437732,-0.628348132540092,"moderate",0.127419070428211,0.29,0.666666666666667,1.09755412949975,1.07334309285103,0.0818380299417212,1.01804544073766,0.955875733711162,0.124618923433835,0.141187904262654,"negligible",0.390808290877818,0.6,0.318181818181818,1.07415977204734,1.06604261900971,0.0302434365387005,0.992445715088552,0.957468072070124,0.077764057094031,-0.215660641175716,"small",0.48779453035672,0.68,0.481481481481481,1.06637696817421,1.06158573075588,0.0211543220354295,1.01336174739391,1.04717802621472,0.0670756919859967,0.511464668745495,"moderate",6.56059123111658e-07,1.7e-05,0.710526315789474,1.17066979761996,1.13185694489464,0.131925291113791,1.02315025362264,0.939163487031004,0.206894017966337,-0.248100055449607,"small",0.435029198966109,0.64,0.4375,1.09722915213931,1.08740670972728,0.0505523670079742,0.977005422607825,0.954765788651382,0.0994359250278242,-0.265088824445361,"small",0.114605091558031,0.27,0.428571428571429,1.06892660032481,1.05674351926194,0.0310871026842436,1.02724364532174,1.04306231019135,0.0712238235014728,0.00276058335303834,"negligible",0.876254458614067,0.94,0.526315789473684,1.10755421595261,1.07977779967293,0.0842413573541355,1.08947369770999,1.07977779967293,0.104928364715756,0.192533293238964,"negligible",0.795114839176841,0.89,0.552631578947368,1.13418283294057,1.08298514094984,0.116722177026091,1.03339102897868,1.04183057354135,0.167926955729327,0.107494595347445,"negligible",0.552374454585157,0.73,0.395833333333333,1.06292118140062,1.06049268913576,0.0172616568792277,1.05493878207987,1.05945951022774,0.0352512782881125,0.458647391233683,"small",0.0104421705310354,0.045
"3","CR1-11_Crp#LINE_CR1","LINE_CR1","LINE",0.521739130434783,2.23586706581883,1.21790470206145,3.42672547737222,2.09169181568539,1.15112442747284,3.47542580195664,0.13896321937304,"negligible",0.472117954704294,0.67,0.626373626373626,1.32900796543938,1.16764022021835,0.499561850653036,1.25275368805816,1.15680760947697,0.540423935507532,-0.738108346028088,"moderate",6.98257160456432e-08,3e-06,0.65,1.11654367685718,1.10948215941727,0.0436222744612566,1.00983639828614,0.939516597593644,0.12092578017092,-0.645213765487877,"moderate",0.102160949953183,0.25,0.5,1.13624772206234,1.10533431614871,0.0879134378972202,0.945827490846314,0.926224946760859,0.12546981701564,0.143915606631974,"negligible",0.376482675967156,0.59,0.295454545454545,1.2476446607877,1.10801634847494,0.417419702602192,1.22390196655862,1.10801634847494,0.431519562295901,-0.227845224532522,"small",0.44700308851271,0.65,0.518518518518518,1.17408630665195,1.14707671783361,0.105067900431723,1.06998333220978,1.11882293444784,0.188053748425321,0.503924009259904,"moderate",7.93040393890412e-07,2e-05,0.657894736842105,1.25896237299807,1.16711575046545,0.205613925352732,1.00095028031211,0.90864395406958,0.283929267978179,-0.243596251380252,"small",0.472482207777791,0.67,0.645833333333333,1.19930082704191,1.13865507830414,0.170608602386021,1.10421144507323,1.11584212497826,0.236619500629283,-0.279885786111555,"small",0.0898834402571042,0.23,0.738095238095238,1.27348508514568,1.19090158634182,0.194004042927315,1.17003520940373,1.15143308193596,0.284516601643969,-0.00266617322779277,"negligible",0.792921447600045,0.89,0.105263157894737,1.44907499262787,1.44907499262787,0.0104556559740652,1.44907499262787,1.44907499262787,0.0104556559740652,0.192503257573429,"negligible",0.729113675252864,0.85,0.578947368421053,1.24780819405879,1.13398000623146,0.267623000968642,1.17934298580686,1.1210166357482,0.311832972922513,0.0988270576717085,"negligible",0.601820604406842,0.77,0.0625,1.11276018199916,1.09817461577074,0.0315454675201428,1.11276018199916,1.09817461577074,0.0315454675201428,0.462991412957746,"small",0.00838444120352476,0.038
"4","CR1-12_AMi#LINE_CR1","LINE_CR1","LINE",0.478260869565217,2.07812200138285,1.12407968864769,3.01211366707968,1.9825674157659,1.08527588115987,3.04762849935995,0.144707634290438,"negligible",0.458751662797436,0.66,0.417582417582418,1.1174198527632,1.10771020230142,0.0592789286072469,1.05065802874894,1.08586248883291,0.118881878130191,-0.707913675970916,"moderate",1.96011256089919e-07,6.9e-06,0.4,1.08832567528937,1.08117448252449,0.020153761870297,0.965344582590277,0.930748839431407,0.0826618537132367,-0.636578724481944,"moderate",0.120699705755565,0.28,0.5,1.13921781981797,1.10965134577456,0.111508189241485,0.971907962917263,0.914279841144321,0.168752607495203,0.146515681783719,"negligible",0.379321576469814,0.59,0.295454545454545,1.10704882825943,1.09035026215858,0.0409888483594699,1.0111031513486,1.06911871704636,0.110915589002844,-0.219898164019986,"small",0.482589303218555,0.68,0.407407407407407,1.11832038245654,1.11219230001864,0.0456037346873203,1.08217948122958,1.10448048859401,0.0926357394429235,0.502108630578207,"moderate",1.08462943856265e-06,2.5e-05,0.473684210526316,1.14161061870454,1.10751669870072,0.0893852755308562,1.01330509043691,0.995776577058994,0.161903617839966,-0.244096060624627,"small",0.478890548667376,0.68,0.270833333333333,1.1224582800559,1.11953090867962,0.0553517296945224,1.0316263051196,0.937136232448238,0.131828895256273,-0.273859206103904,"small",0.101652815031675,0.25,0.30952380952381,1.09826757798655,1.08546612797919,0.0385372920666463,1.005090409358,1.06748159507275,0.101334213918735,0.00494001651660456,"negligible",0.883273989470926,0.94,0.263157894736842,1.14530286563515,1.12199986124074,0.0831843857022562,1.14530286563515,1.12199986124074,0.0831843857022562,0.188432809379781,"negligible",0.707515794068002,0.84,0.157894736842105,1.17313022917766,1.15063575357017,0.0778278605551428,1.05543052125744,1.10772559526997,0.178940737451557,0.110968701798967,"negligible",0.511624094431687,0.7,0.166666666666667,1.08543146715827,1.07969798284611,0.0186100740167081,1.05213052042178,1.07969798284611,0.07356642493938,0.468513189326316,"small",0.00654316522692463,0.032
"5","CR1-13_AMi#LINE_CR1","LINE_CR1","LINE",0.521739130434783,1.87252719438447,1.12220755608611,2.53019360966353,1.74285985171093,1.00137177138534,2.57424913346721,0.161763779586291,"negligible",0.445595976973432,0.65,0.285714285714286,1.14496971207157,1.11399419771485,0.108861612989544,1.01276867128426,0.928434310909296,0.1770007688796,-0.699046208352835,"moderate",3.7332561407678e-07,1.1e-05,0.25,1.09604424772208,1.10435991596809,0.0239907777110501,1.02729125258727,1.07034032656564,0.102356804847992,-0.643221723592681,"moderate",0.114254480535856,0.27,0.483333333333333,1.11638637733488,1.10906750234873,0.0486975344347749,0.939430664466666,0.906327008110955,0.0988605037198495,0.147838543168636,"negligible",0.368044923535832,0.58,0.204545454545455,1.12376270914256,1.11154131874624,0.0567180636191214,1.06808272673483,1.09253687021021,0.117830592431839,-0.219967533689386,"small",0.462070388270303,0.66,0.12962962962963,1.1051845527363,1.07786890297214,0.0534883663267665,0.992009629879139,0.933607180388948,0.121239601533844,0.509174647183242,"moderate",6.77186045721795e-07,1.8e-05,0.394736842105263,1.16579406611421,1.14730387816505,0.115418273993329,0.967170386962539,0.895872689141249,0.19160901091171,-0.240735864204993,"small",0.48534549664294,0.68,0.541666666666667,1.10477027010827,1.09434116721052,0.0387297201069248,1.05310538829217,1.08504019590823,0.0978582014843241,-0.276152028151186,"small",0.0941627607387484,0.23,0.476190476190476,1.12290625706639,1.10952204360303,0.0404208696662824,1.02768495163455,1.07587255913718,0.122748093988134,0.00310170365285737,"negligible",0.862244780792059,0.93,0.315789473684211,1.14830068767781,1.11224994040676,0.0806556391868014,1.14830068767781,1.11224994040676,0.0806556391868014,0.190565766060093,"negligible",0.795114839176841,0.89,0.289473684210526,1.11645131384147,1.10111604385384,0.0471204868952161,1.0286255873279,1.08750156939345,0.118416108724557,0.107937247758169,"negligible",0.531803853247375,0.72,0.1875,1.09850878607779,1.08982262870224,0.0306626904700457,1.0826824873787,1.08982262870224,0.0638439083057263,0.458932437799065,"small",0.00957099492622272,0.042
"6","CR1-16_AMi#LINE_CR1","LINE_CR1","LINE",0.782608695652174,1.59882634184376,1.10582374196589,2.0103214651658,1.45176492011177,0.925413942800436,2.04995492229674,0.222281235003106,"small",0.304943450009916,0.52,0.703296703296703,1.12128384640309,1.10036266170818,0.0833496022680846,0.904771858507042,0.908791287453927,0.0732465752172724,-0.58820751512125,"moderate",1.86817761929554e-05,0.00026,0.6,1.08720027480942,1.06315859087989,0.0568914365923475,0.929881971364686,0.940594084747559,0.0585941783035518,-0.593419852303832,"moderate",0.173828612349674,0.36,0.7,1.0939320717372,1.08291072840133,0.0662566426183221,1.00617682500782,0.962877007014048,0.110917804832281,0.144897698255309,"negligible",0.396630040818099,0.61,0.522727272727273,1.06187389812573,1.05976867230773,0.0238732553603329,0.982529170663204,0.959078874423074,0.0610017835301235,-0.203811137341142,"small",0.48779453035672,0.68,0.425925925925926,1.06083815293315,1.05162100178386,0.0289132588300082,0.965946302210595,0.951775082949873,0.0530080504412279,0.542822894788592,"moderate",2.2583733978366e-07,7.7e-06,0.842105263157895,1.1431547404894,1.08942298035229,0.11509649882557,0.950157616305293,0.925017672854336,0.156995604984387,-0.225870126050333,"small",0.518306522749623,0.71,0.770833333333333,1.08564993577391,1.06917745371528,0.052494920039425,0.944687214013723,0.937017239940817,0.0702330238939228,-0.224860238175973,"small",0.246703805524165,0.46,0.761904761904762,1.09862774415659,1.08770271331668,0.0513002491762932,0.929843807031256,0.920065000792621,0.0689833533620916,0.039457573434083,"negligible",0.904384892892294,0.95,0.315789473684211,1.14158992493864,1.10299709243123,0.107573070155305,1.14158992493864,1.10299709243123,0.107573070155305,0.194378515870916,"negligible",0.862580176866582,0.93,0.552631578947368,1.08844931091764,1.06207836171758,0.0641707237094374,0.986181039837636,0.967036504606615,0.100180184801243,0.128863232446343,"negligible",0.435029198966109,0.64,0.375,1.05543069924789,1.05076018017081,0.0179180915472808,1.04503732084455,1.05042537056286,0.0374368148631731,0.467578556995875,"small",0.00838444120352476,0.038
"7","CR1-3_Croc#LINE_CR1","LINE_CR1","LINE",0.782608695652174,1.62881144680162,1.06144263065879,2.41833252126283,1.59381018159826,1.02870838574805,2.42764380696353,0.0427506332517464,"negligible",0.64759417156185,0.8,0.846153846153846,1.05706115871668,1.04686922504991,0.0392636170978788,1.0335245828009,1.03380721364269,0.0590585189552588,-0.733526758340335,"moderate",7.66954126782444e-08,3.2e-06,0.8,1.05602970356911,1.04158004889296,0.0498178194002344,1.02764126598452,1.02134145959449,0.0699204142534825,-0.600312798411901,"moderate",0.149283560465066,0.32,0.75,1.05090689530807,1.04141808799094,0.0386922380368611,0.978943535083889,0.973448175859871,0.0560117633657286,0.166048628248047,"negligible",0.33285768918733,0.55,0.840909090909091,1.0461365302423,1.03358502154698,0.0354230441450249,1.00715382728659,1.01315582805499,0.0567005496178422,-0.190087141551597,"negligible",0.569336463719758,0.74,0.685185185185185,1.03785522685197,1.03169516119017,0.0227950390165192,1.00240347147114,1.013946534639,0.0428707817668339,0.491904648975578,"small",1.4780315427392e-06,3.2e-05,0.763157894736842,1.07200113783331,1.05260949818566,0.0752306842461878,1.03588482082284,1.03145678210708,0.0978762268970564,-0.247703640517739,"small",0.472482207777791,0.67,0.895833333333333,1.07053847727823,1.0559086989849,0.0508675729009642,1.05107007194266,1.04971627530419,0.0702316275896061,-0.301353876688983,"small",0.0630422366926754,0.18,0.833333333333333,1.05098840823546,1.04219755432324,0.0366301700892782,1.02007549248957,1.02314214964811,0.0593174612886755,-0.0280373111967157,"negligible",0.76560754101678,0.88,0.842105263157895,1.05252613168526,1.051240383039,0.0337991539079956,1.03626912519474,1.03515833193686,0.0510249860394098,0.187924406430965,"negligible",0.707515794068002,0.84,0.815789473684211,1.04894295799369,1.04265129899305,0.0313055950354584,1.00294540185254,0.987474111836634,0.0571935368395637,0.131865488927533,"negligible",0.40515553750429,0.61,0.770833333333333,1.03772665347094,1.02390419365317,0.0279707093964913,1.01635585630481,1.01915959503338,0.0438996296498081,0.467154003112589,"small",0.00957099492622272,0.042
"8","CR1-L3A_Croc#LINE_CR1","LINE_CR1","LINE",0.478260869565217,2.06014518820347,1.13087480708167,2.89960143290622,1.98930594599895,1.08278400086279,2.92679372367211,0.11771105228949,"negligible",0.458751662797436,0.66,0.516483516483517,1.09970810804532,1.08149149219078,0.0540243371818727,0.971609118075169,0.930760135845808,0.0986162272902868,-0.67975246583757,"moderate",6.42574890689224e-07,1.7e-05,0.4,1.0624515369292,1.06246951408638,0.015172996578857,1.02931558168696,1.05422697046937,0.0592347148156535,-0.645542704361581,"moderate",0.108077073913511,0.26,0.766666666666667,1.1159305877738,1.09755377037731,0.0755147406564388,0.946888594490958,0.915368202783757,0.114609418608909,0.15728017633167,"negligible",0.354246066395712,0.57,0.386363636363636,1.08920827274454,1.07223796918712,0.064050241508943,1.01362124464024,0.948210046372994,0.108739555378793,-0.215874131675764,"small",0.503588443493382,0.7,0.555555555555556,1.06893927438742,1.05823165883174,0.0284475118230205,1.04836551643965,1.05520462362084,0.0542175790880864,0.503393215131857,"moderate",9.87761084133087e-07,2.3e-05,0.789473684210526,1.15961971429353,1.07949775563195,0.18706777544027,1.06528312389252,1.03920116917664,0.233541983225346,-0.255386648829724,"small",0.422931787599791,0.63,0.666666666666667,1.09938893565465,1.08767677380091,0.0456676777991338,1.02083795166886,1.05103725208522,0.104277559249691,-0.27137894547393,"small",0.125136895157502,0.29,0.547619047619048,1.09114873932479,1.06998411452492,0.0449549064110231,0.977205223450846,0.939186107163459,0.0921693897801098,0.00978406172978425,"negligible",0.89733974726752,0.95,0.578947368421053,1.09149915633034,1.05762430473486,0.0651300712480186,1.07207773021352,1.05762430473486,0.0876105857016583,0.193060429137119,"negligible",0.750923476825203,0.87,0.394736842105263,1.24976787911044,1.10551340268398,0.287666150122629,1.08909364132091,0.936910416541264,0.367738928015464,0.102904772726439,"negligible",0.552374454585157,0.73,0.375,1.06408393215573,1.05788104105176,0.0243194083821581,1.05770222075963,1.05623923408622,0.0373106342744491,0.461905719987391,"small",0.00896036613426458,0.04
"9","CR1-L3B_Croc#LINE_CR1","LINE_CR1","LINE",0.826086956521739,1.63646568612409,1.1594967065436,2.03128667678744,1.40814569415007,0.909786476308267,2.09017717596721,0.175671911068632,"negligible",0.3830669278469,0.6,0.659340659340659,1.15097334865831,1.14429565684037,0.093512583445033,0.902605380002593,0.886088246558868,0.106495943797133,-0.677360621380269,"moderate",7.32150946035656e-07,1.9e-05,0.6,1.13815716213926,1.13834533069318,0.0566798339991753,0.910772740411572,0.878473838840235,0.0953588409577849,-0.624221255408178,"moderate",0.13441884182804,0.3,0.633333333333333,1.14342029633968,1.11588709140207,0.0777313080415771,0.963075417134955,0.929765433340174,0.139332245845896,0.145684950839496,"negligible",0.356979368885169,0.57,0.659090909090909,2.24775691323307,1.09970656835752,6.13346524346069,2.07117732565813,0.91353386166042,6.16764256354711,-0.285585374897646,"small",0.417714120906012,0.63,0.388888888888889,1.08730825070748,1.07767489896806,0.0394993383706465,0.948971164785588,0.935010949836698,0.0708891078826648,0.514802328368915,"moderate",5.59602975242408e-07,1.5e-05,0.684210526315789,1.18922423292076,1.14225951536249,0.118422069977756,0.943216179132776,0.886805063773491,0.187892165018435,-0.239805867511151,"small",0.459806702559456,0.66,0.5625,1.12442656384728,1.10258539450892,0.0789141245230236,0.955833788902517,0.935972963281253,0.120879264307105,-0.266636715772338,"small",0.112919004360389,0.27,0.666666666666667,1.10750549650886,1.10153710314349,0.0428621398249236,0.980412878256242,0.928457340273505,0.107568066588735,0.0073380611132569,"negligible",0.918497000304088,0.96,0.421052631578947,1.10923053554352,1.08424733830241,0.0751405484630933,1.06049988656149,1.07390759435154,0.121580921642462,0.202178988120517,"small",0.839957571514858,0.92,0.421052631578947,1.12856047816196,1.09178137426012,0.08389188607088,0.953938394860419,0.936552018172816,0.127843421709046,0.116139054372419,"negligible",0.518306522749623,0.71,0.25,1.09188188616558,1.08495234529595,0.0328448485030798,1.04298508114286,1.07403340800441,0.0889104026275725,0.464290499499417,"small",0.00857266510919765,0.039
"10","L3#LINE_CR1","LINE_CR1","LINE",0.956521739130435,1.46006859454194,1.01618147545786,2.03905449079258,1.43666213170816,1.00082165146689,2.04442547540342,0.25975233839567,"small",0.237997606896875,0.45,0.978021978021978,1.03762170151592,1.03212994770246,0.0307623545632712,1.01697838027795,1.02175422863222,0.0442569114583735,0.513366553380257,"moderate",0.000584504283748885,0.0048,0.95,1.04063060552707,1.02936044545007,0.0386299666433975,1.02831425819456,1.02388332869294,0.0486710787853473,0.100405499067414,"negligible",0.444964024840216,0.65,0.983333333333333,1.03165254140518,1.02645056915813,0.0291360152217352,0.992438201153304,0.988512483924942,0.0409235921370241,0.585567975381228,"moderate",2.30566605879384e-05,0.00031,0.977272727272727,1.03509573590648,1.02464603338568,0.0336241133786474,1.0109269458921,1.01142355537993,0.046431083991725,0.144453110454094,"negligible",0.730380526506108,0.86,0.962962962962963,1.02044019736715,1.01557485138288,0.016760032561039,1.00093071082822,1.0078675255419,0.0255063655807239,0.874488971845908,"large",2.33214258503059e-05,0.00032,1,1.04720452923068,1.03694002672433,0.0714401489859436,1.01882674307124,0.998407719670525,0.0834622676793863,0.0937299114326281,"negligible",0.880965684836875,0.94,0.958333333333333,1.05157352838833,1.04251197624174,0.0461473908287295,1.03637446119128,1.03089254562579,0.0586558877968499,-0.542831640515241,"moderate",0.0251948393722085,0.088,0.952380952380952,1.0147275202469,1.01011751077452,0.0144301752657621,0.999439384885424,0.998056981005639,0.0203991827155373,0.242767654158605,"small",0.216557163287763,0.42,1,1.0392781844933,1.0314172846396,0.0324442261439595,1.03213044169727,1.02997937996635,0.0395784578068306,-0.361662262783054,"small",0.162899887254484,0.34,0.947368421052632,1.04240617560653,1.03860079278917,0.0290764627240058,1.00764054285839,1.00965458690914,0.0502984775000335,0.611894277649233,"moderate",0.000827055244663192,0.0063,0.979166666666667,1.02909383062266,1.02273577491867,0.0266750194783352,1.01459134314422,1.01327307167595,0.0366277664571474,0.0688913485048241,"negligible",0.812620696344928,0.9
