id	LUCAS_Hi	AHN_BU	LUCAS_Val
PGDX26551P1	TRUE	FALSE	FALSE
PGDX26758P1	TRUE	FALSE	FALSE
PGDX26721P	TRUE	FALSE	FALSE
PGDX26615P	TRUE	FALSE	FALSE
PGDX26973P	TRUE	FALSE	FALSE
PGDX26633P	TRUE	FALSE	FALSE
PGDX26648P	TRUE	FALSE	FALSE
PGDX26665P	TRUE	FALSE	FALSE
PGDX26956P	TRUE	FALSE	FALSE
PGDX26856P	TRUE	FALSE	FALSE
PGDX26968P	TRUE	FALSE	FALSE
PGDX26664P	TRUE	FALSE	FALSE
PGDX26822P	TRUE	FALSE	FALSE
PGDX26680P	TRUE	FALSE	FALSE
PGDX26893P	TRUE	FALSE	FALSE
PGDX26813P1	TRUE	FALSE	FALSE
PGDX26924P	TRUE	FALSE	FALSE
PGDX26938P	TRUE	FALSE	FALSE
PGDX26906P	TRUE	FALSE	FALSE
PGDX26774P	TRUE	FALSE	FALSE
PGDX26696P	TRUE	FALSE	FALSE
PGDX26786P	TRUE	FALSE	FALSE
PGDX26623P	TRUE	FALSE	FALSE
PGDX26839P	TRUE	FALSE	FALSE
PGDX26690P	TRUE	FALSE	FALSE
PGDX26819P	TRUE	FALSE	FALSE
PGDX26775P	TRUE	FALSE	FALSE
PGDX26837P	TRUE	FALSE	FALSE
PGDX26944P	TRUE	FALSE	FALSE
PGDX26716P	TRUE	FALSE	FALSE
PGDX26804P	TRUE	FALSE	FALSE
PGDX26286P3	TRUE	FALSE	FALSE
PGDX26886P	TRUE	FALSE	FALSE
PGDX26745P	TRUE	FALSE	FALSE
PGDX26736P	TRUE	FALSE	FALSE
PGDX26712P	TRUE	FALSE	FALSE
PGDX26284P4	TRUE	FALSE	FALSE
PGDX26635P	TRUE	FALSE	FALSE
PGDX26909P	TRUE	FALSE	FALSE
PGDX26586P1	TRUE	FALSE	FALSE
PGDX26744P	TRUE	FALSE	FALSE
PGDX26618P	TRUE	FALSE	FALSE
PGDX26619P	TRUE	FALSE	FALSE
PGDX26816P	TRUE	FALSE	FALSE
PGDX26919P	TRUE	FALSE	FALSE
PGDX26700P	TRUE	FALSE	FALSE
PGDX26666P	TRUE	FALSE	FALSE
PGDX26911P	TRUE	FALSE	FALSE
PGDX26682P	TRUE	FALSE	FALSE
PGDX26698P	TRUE	FALSE	FALSE
PGDX26668P	TRUE	FALSE	FALSE
PGDX26925P	TRUE	FALSE	FALSE
PGDX26838P	TRUE	FALSE	FALSE
PGDX26850P	TRUE	FALSE	FALSE
PGDX26962P	TRUE	FALSE	FALSE
PGDX26777P	TRUE	FALSE	FALSE
PGDX26846P	TRUE	FALSE	FALSE
PGDX26820P	TRUE	FALSE	FALSE
PGDX26675P	TRUE	FALSE	FALSE
PGDX26727P	TRUE	FALSE	FALSE
PGDX26874P	TRUE	FALSE	FALSE
PGDX26640P	TRUE	FALSE	FALSE
PGDX26711P	TRUE	FALSE	FALSE
PGDX26652P	TRUE	FALSE	FALSE
PGDX26798P	TRUE	FALSE	FALSE
PGDX26732P	TRUE	FALSE	FALSE
PGDX26946P	TRUE	FALSE	FALSE
PGDX26655P	TRUE	FALSE	FALSE
