"","occurrences","kmer_count","chr","feature","group"
"1",0,1438,"chr1","2A1","hsat2_A1_A2"
"2",0,853,"chr10","2A1","hsat2_A1_A2"
"3",1,97,"chr10","2A1","hsat2_A1_A2"
"4",2,25,"chr10","2A1","hsat2_A1_A2"
"5",3,51,"chr10","2A1","hsat2_A1_A2"
"6",4,32,"chr10","2A1","hsat2_A1_A2"
"7",6,2,"chr10","2A1","hsat2_A1_A2"
"8",8,9,"chr10","2A1","hsat2_A1_A2"
"9",9,12,"chr10","2A1","hsat2_A1_A2"
"10",10,11,"chr10","2A1","hsat2_A1_A2"
"11",11,5,"chr10","2A1","hsat2_A1_A2"
"12",12,9,"chr10","2A1","hsat2_A1_A2"
"13",13,7,"chr10","2A1","hsat2_A1_A2"
"14",14,2,"chr10","2A1","hsat2_A1_A2"
"15",15,6,"chr10","2A1","hsat2_A1_A2"
"16",16,4,"chr10","2A1","hsat2_A1_A2"
"17",17,6,"chr10","2A1","hsat2_A1_A2"
"18",18,9,"chr10","2A1","hsat2_A1_A2"
"19",22,2,"chr10","2A1","hsat2_A1_A2"
"20",26,2,"chr10","2A1","hsat2_A1_A2"
"21",27,4,"chr10","2A1","hsat2_A1_A2"
"22",29,1,"chr10","2A1","hsat2_A1_A2"
"23",35,1,"chr10","2A1","hsat2_A1_A2"
"24",41,4,"chr10","2A1","hsat2_A1_A2"
"25",44,2,"chr10","2A1","hsat2_A1_A2"
"26",45,1,"chr10","2A1","hsat2_A1_A2"
"27",46,6,"chr10","2A1","hsat2_A1_A2"
"28",47,4,"chr10","2A1","hsat2_A1_A2"
"29",49,8,"chr10","2A1","hsat2_A1_A2"
"30",50,1,"chr10","2A1","hsat2_A1_A2"
"31",51,4,"chr10","2A1","hsat2_A1_A2"
"32",52,5,"chr10","2A1","hsat2_A1_A2"
"33",54,2,"chr10","2A1","hsat2_A1_A2"
"34",55,1,"chr10","2A1","hsat2_A1_A2"
"35",56,7,"chr10","2A1","hsat2_A1_A2"
"36",57,9,"chr10","2A1","hsat2_A1_A2"
"37",58,1,"chr10","2A1","hsat2_A1_A2"
"38",62,2,"chr10","2A1","hsat2_A1_A2"
"39",63,1,"chr10","2A1","hsat2_A1_A2"
"40",64,1,"chr10","2A1","hsat2_A1_A2"
"41",66,2,"chr10","2A1","hsat2_A1_A2"
"42",67,1,"chr10","2A1","hsat2_A1_A2"
"43",68,1,"chr10","2A1","hsat2_A1_A2"
"44",69,1,"chr10","2A1","hsat2_A1_A2"
