"","seqnames","strand","n","type","group","mb"
"1","chr1","+",151314376,"full_genome","full_genome",151.314376
"2","chr1","-",169145157,"full_genome","full_genome",169.145157
"3","chr2","+",155947391,"full_genome","full_genome",155.947391
"4","chr2","-",156332202,"full_genome","full_genome",156.332202
"5","chr3","+",128650190,"full_genome","full_genome",128.65019
"6","chr3","-",134539854,"full_genome","full_genome",134.539854
"7","chr4","+",126925520,"full_genome","full_genome",126.92552
"8","chr4","-",122391882,"full_genome","full_genome",122.391882
"9","chr5","+",115229004,"full_genome","full_genome",115.229004
"10","chr5","-",119944647,"full_genome","full_genome",119.944647
"11","chr6","+",112857445,"full_genome","full_genome",112.857445
"12","chr6","-",109878102,"full_genome","full_genome",109.878102
"13","chr7","+",100755161,"full_genome","full_genome",100.755161
"14","chr7","-",104590965,"full_genome","full_genome",104.590965
"15","chr8","+",96765869,"full_genome","full_genome",96.765869
"16","chr8","-",95481986,"full_genome","full_genome",95.481986
"17","chr9","+",87866892,"full_genome","full_genome",87.866892
"18","chr9","-",79849018,"full_genome","full_genome",79.849018
"19","chr10","+",86839496,"full_genome","full_genome",86.839496
"20","chr10","-",85346896,"full_genome","full_genome",85.346896
"21","chr11","+",91142088,"full_genome","full_genome",91.142088
"22","chr11","-",88129299,"full_genome","full_genome",88.129299
"23","chr12","+",89396696,"full_genome","full_genome",89.396696
"24","chr12","-",87167458,"full_genome","full_genome",87.167458
"25","chr13","+",67117978,"full_genome","full_genome",67.117978
"26","chr13","-",75064131,"full_genome","full_genome",75.064131
"27","chr14","+",62361207,"full_genome","full_genome",62.361207
"28","chr14","-",65685115,"full_genome","full_genome",65.685115
"29","chr15","+",63378648,"full_genome","full_genome",63.378648
"30","chr15","-",59313730,"full_genome","full_genome",59.31373
"31","chr16","+",67321363,"full_genome","full_genome",67.321363
"32","chr16","-",53878612,"full_genome","full_genome",53.878612
"33","chr17","+",54705741,"full_genome","full_genome",54.705741
"34","chr17","-",50296161,"full_genome","full_genome",50.296161
"35","chr18","+",53815063,"full_genome","full_genome",53.815063
"36","chr18","-",48229106,"full_genome","full_genome",48.229106
"37","chr19","+",36700402,"full_genome","full_genome",36.700402
"38","chr19","-",40194740,"full_genome","full_genome",40.19474
"39","chr20","+",44288778,"full_genome","full_genome",44.288778
"40","chr20","-",42895411,"full_genome","full_genome",42.895411
"41","chr21","+",26180229,"full_genome","full_genome",26.180229
"42","chr21","-",26858067,"full_genome","full_genome",26.858067
"43","chr22","+",27924555,"full_genome","full_genome",27.924555
"44","chr22","-",33389738,"full_genome","full_genome",33.389738
"45","chrX","+",107463791,"full_genome","full_genome",107.463791
"46","chrX","-",109713470,"full_genome","full_genome",109.71347
"47","chrY","+",18357463,"full_genome","full_genome",18.357463
"48","chrY","-",30364971,"full_genome","full_genome",30.364971
"49","chrM","+",3298,"full_genome","full_genome",0.003298
"50","chrM","-",146,"full_genome","full_genome",0.000146
"51","chr1","+",128075384,"fam","LINE",128.075384
"52","chr1","-",128992331,"fam","LINE",128.992331
"53","chr2","+",131483004,"fam","LINE",131.483004
"54","chr2","-",134532473,"fam","LINE",134.532473
"55","chr3","+",110859198,"fam","LINE",110.859198
"56","chr3","-",111108125,"fam","LINE",111.108125
"57","chr4","+",102931186,"fam","LINE",102.931186
"58","chr4","-",104437638,"fam","LINE",104.437638
"59","chr5","+",98439355,"fam","LINE",98.439355
"60","chr5","-",99740503,"fam","LINE",99.740503
"61","chr6","+",94214949,"fam","LINE",94.214949
"62","chr6","-",94377300,"fam","LINE",94.3773
"63","chr7","+",84999180,"fam","LINE",84.99918
"64","chr7","-",85215606,"fam","LINE",85.215606
"65","chr8","+",80901557,"fam","LINE",80.901557
"66","chr8","-",81988960,"fam","LINE",81.98896
"67","chr9","+",68609636,"fam","LINE",68.609636
"68","chr9","-",68529419,"fam","LINE",68.529419
"69","chr10","+",71962780,"fam","LINE",71.96278
"70","chr10","-",72422744,"fam","LINE",72.422744
"71","chr11","+",75331773,"fam","LINE",75.331773
"72","chr11","-",75913707,"fam","LINE",75.913707
"73","chr12","+",73344743,"fam","LINE",73.344743
"74","chr12","-",73812236,"fam","LINE",73.812236
"75","chr13","+",56403616,"fam","LINE",56.403616
"76","chr13","-",56191245,"fam","LINE",56.191245
"77","chr14","+",51543550,"fam","LINE",51.54355
"78","chr14","-",52327287,"fam","LINE",52.327287
"79","chr15","+",48911700,"fam","LINE",48.9117
"80","chr15","-",48588919,"fam","LINE",48.588919
"81","chr16","+",43859580,"fam","LINE",43.85958
"82","chr16","-",44719905,"fam","LINE",44.719905
"83","chr17","+",41650947,"fam","LINE",41.650947
"84","chr17","-",41521050,"fam","LINE",41.52105
"85","chr18","+",41499141,"fam","LINE",41.499141
"86","chr18","-",41673681,"fam","LINE",41.673681
"87","chr19","+",27012810,"fam","LINE",27.01281
"88","chr19","-",27664499,"fam","LINE",27.664499
"89","chr20","+",34855685,"fam","LINE",34.855685
"90","chr20","-",36551503,"fam","LINE",36.551503
"91","chr21","+",20421891,"fam","LINE",20.421891
"92","chr21","-",19695392,"fam","LINE",19.695392
"93","chr22","+",21541434,"fam","LINE",21.541434
"94","chr22","-",21859105,"fam","LINE",21.859105
"95","chrX","+",94301113,"fam","LINE",94.301113
"96","chrX","-",94915945,"fam","LINE",94.915945
"97","chrY","+",11989835,"fam","LINE",11.989835
"98","chrY","-",12684433,"fam","LINE",12.684433
"99","chr1","+",1069615,"fam","Satellite",1.069615
"100","chr1","-",18235486,"fam","Satellite",18.235486
"101","chr2","+",2851201,"fam","Satellite",2.851201
"102","chr2","-",705534,"fam","Satellite",0.705534
"103","chr3","+",103745,"fam","Satellite",0.103745
"104","chr3","-",5525699,"fam","Satellite",5.525699
"105","chr4","+",5814997,"fam","Satellite",5.814997
"106","chr4","-",300756,"fam","Satellite",0.300756
"107","chr5","+",674718,"fam","Satellite",0.674718
"108","chr5","-",4033774,"fam","Satellite",4.033774
"109","chr6","+",3349208,"fam","Satellite",3.349208
"110","chr6","-",183029,"fam","Satellite",0.183029
"111","chr7","+",986528,"fam","Satellite",0.986528
"112","chr7","-",4434587,"fam","Satellite",4.434587
"113","chr8","+",2810399,"fam","Satellite",2.810399
"114","chr8","-",397166,"fam","Satellite",0.397166
"115","chr9","+",8678084,"fam","Satellite",8.678084
"116","chr9","-",599182,"fam","Satellite",0.599182
"117","chr10","+",2820641,"fam","Satellite",2.820641
"118","chr10","-",1010404,"fam","Satellite",1.010404
