"","id","chr10p::chr10:0-40649191","chr10q::chr10:40649191-134758134","chr11p::chr11:0-52743313","chr11q::chr11:52743313-135127769","chr12p::chr12:0-35911664","chr12q::chr12:35911664-133324548","chr13p::chr13:0-16522942","chr13q::chr13:16522942-113566686","chr14p::chr14:0-11400261","chr14q::chr14:11400261-101161492","chr15p::chr15:0-17186630","chr15q::chr15:17186630-99753195","chr16p::chr16:0-36838903","chr16q::chr16:36838903-96330374","chr17p::chr17:0-25689679","chr17q::chr17:25689679-84276897","chr18p::chr18:0-18449624","chr18q::chr18:18449624-80542538","chr19p::chr19:0-27792923","chr19q::chr19:27792923-61707364","chr1p::chr1:0-124048267","chr1q::chr1:124048267-248387328","chr20p::chr20:0-28012753","chr20q::chr20:28012753-66210255","chr21p::chr21:0-11134529","chr21q::chr21:11134529-45090682","chr22p::chr22:0-14249622","chr22q::chr22:14249622-51324926","chr2p::chr2:0-93503283","chr2q::chr2:93503283-242696752","chr3p::chr3:0-94076514","chr3q::chr3:94076514-201105948","chr4p::chr4:0-52452474","chr4q::chr4:52452474-193574945","chr5p::chr5:0-48317879","chr5q::chr5:48317879-182045439","chr6p::chr6:0-59672548","chr6q::chr6:59672548-172126628","chr7p::chr7:0-62064435","chr7q::chr7:62064435-160567428","chr8p::chr8:0-45270456","chr8q::chr8:45270456-146259331","chr9p::chr9:0-46267185","chr9q::chr9:46267185-150617247","chrXp::chrX:0-59373565","chrXq::chrX:59373565-154259566","chrYp::chrY:0-10724418","chrYq::chrY:10724418-62460029"
"1","DO10172_normal",363868.78040898,737120.741314634,377461.451866857,514795.557787742,292331.208616541,639955.345581713,408815.343597166,636413.918776666,474813.792857799,614556.706741124,453753.144357781,491374.313504071,278382.011696655,657836.490158968,304394.596302297,440092.190068969,249452.570069692,500170.899940748,403276.49842131,389947.52083767,885829.650098349,1156383.39110719,280447.681672896,320723.749736957,469982.40740388,306222.614474968,490354.888951692,418044.37020742,660331.327141208,951690.201102792,701426.647743325,723555.781573512,382283.456811897,883519.897701427,472519.688112168,939453.783713208,392107.559798577,729540.492971438,536718.471958121,635523.89638809,319879.887827849,609493.355280626,371134.494246401,629018.267349881,184392.308538166,233291.432808609,54041.5690151774,263415.238039533
"2","DO10172_tumor",378183.1501634,766472.879600235,395160.97437667,527136.71777681,313797.445218881,671659.668832507,500664.512286137,693544.696120619,535063.808798453,646043.709974914,519229.678892719,500974.3536819,273883.897741198,703127.757931537,312714.303485964,429074.255073741,274802.697520847,544560.139633911,404320.342347836,389359.282171033,903044.443692145,1227170.03531953,303411.55016166,324369.958756594,554724.10034793,325672.443694496,571691.663414879,424726.713955239,698586.648493575,1013131.85539059,812363.672804186,846502.014858369,438813.176743758,1002097.8756705,506633.755265018,1003040.54443816,405787.414197621,793709.101358692,573050.450688624,666316.82179803,334765.182462895,652844.623298099,407292.474394815,636434.22480454,193281.830020163,252559.180423773,55403.7311304777,267859.073974364
"3","DO10324_normal",329233.472375725,729814.325551149,397906.538688325,572398.982279451,276192.82185429,636567.720883451,215324.551239916,629620.575549799,337757.230883424,625041.625388091,287400.56698442,527077.093930577,247929.052863836,490764.921683126,240557.341394347,432227.810027177,179409.005153697,468950.139752064,302943.028205175,302040.8358521,874729.929325992,1010950.05960348,237254.700295586,283994.630089854,267191.776818254,266213.333305018,311092.921957685,361290.546212196,663925.222378802,1027053.618278,651770.881257214,673997.57422531,361628.020387741,890946.293960783,431375.096399661,951142.311239331,439190.502314492,773780.424382749,508707.531328585,656898.349135331,330263.408002383,662144.065869736,343237.413945778,593756.923129778,351528.468683509,448384.479398997,22882.2284358646,30659.1988888511
"4","DO10324_tumor",367388.742197707,720384.061698264,411530.463274937,548322.442485316,309076.027034458,666259.011826669,374004.258791182,649752.373969431,460310.375650419,635466.244710595,422140.23649957,492276.835641525,256649.212159445,526060.564034384,263757.303357177,418319.089552794,219584.273689672,488142.457928654,381252.031450617,363505.931754064,882921.89687262,1110517.21007464,259060.023910399,279804.154013738,409805.361157974,271091.788800089,462604.534181429,367201.470109433,644916.691681163,1004394.05431139,762117.318011915,805246.76421942,411712.554486662,997810.735608165,495843.043222338,1004906.33033047,435596.952692918,827263.760240864,545614.159892926,689922.72984188,331944.068041468,660429.91708329,378454.553277989,586416.605842086,372145.42567558,476070.136332553,24094.3977436488,30076.9470323831
"5","DO10486_normal",306368.81491744,652524.576294141,364107.365589519,516284.831844469,263307.819110566,602431.627707974,242135.760210441,619724.082300792,310831.004098373,571461.858938767,278543.131897254,469897.389580588,214111.362250172,513489.23341279,229807.200526328,386397.224760312,161463.008379544,436180.447517287,246813.035590341,248342.380004409,774971.017234012,882023.628807178,210313.005056576,247892.603149294,281664.98254999,255977.293049736,308119.780980158,316438.503167523,624729.358931488,967716.401523249,642355.222672892,677717.404836328,345083.752766714,889201.794418621,392629.646763135,877041.180372628,394589.200466518,738583.932967857,492789.45227118,621308.864052255,305822.586970797,623006.610989983,343984.700884046,559291.394894578,323945.300021003,418267.350336694,21715.8576913503,27448.4904262435
"6","DO10486_tumor",366231.090694037,708746.619723785,408864.922955846,550646.88265091,315648.461293517,645811.963569658,275649.385229265,578708.880175943,389225.156141724,591804.001160951,354667.895500635,490955.941840918,275567.723603418,641424.479280481,306027.87778405,464286.305450822,233102.554177025,468118.610610723,395329.931372721,378435.38982989,858532.303923429,1053837.44875988,346522.452681325,402754.114194253,326512.614037557,273121.421571453,380172.694476383,404653.546288727,643496.415145738,925713.661409321,623157.572136708,620365.138576907,324907.172275781,769030.091656278,466098.857473583,928982.116565129,424287.093539115,727571.190188193,573259.016872661,663314.38440159,441071.669595593,806607.958530566,376185.210855195,658270.23687738,366483.073013412,445849.224709489,23490.8794917388,36019.8332784853
"7","DO10558_normal",409613.153141318,762673.999573841,430676.307805912,540827.237520757,333908.897700814,692616.905416868,417006.879698923,689053.713069069,528701.161091713,665148.84382238,508995.534770427,472952.251080228,262109.850370198,770959.622100984,279768.001174283,352122.78872276,298061.908462538,579290.248474804,380342.108023971,366637.453286052,864425.713172085,1242422.46280971,307779.09934249,292346.134981795,474033.512421895,279425.764842116,556237.604377747,410034.35753515,712919.094310691,1041512.72013772,803783.483830499,833217.015570955,412681.59289744,1067259.2978591,541289.882262902,1060466.29986651,435438.775428398,874659.118509593,647630.283076467,721779.134969525,349672.825474355,692282.856010067,460959.106871143,630812.990114597,399372.513701433,524499.209724738,23267.6730956687,37937.9558093674
"8","DO10558_tumor",401405.766208753,771396.535087175,424057.543435581,544769.864612608,330133.934871118,681975.96442649,349865.70641369,639582.330793354,499186.59398545,639551.238464202,486618.94209371,473623.056005099,275582.925708704,839354.589691905,312488.936533625,378348.256713148,302268.999419157,558442.764369648,392906.940173204,381648.555688464,860496.776392125,1285936.82804711,312844.341612756,311278.63920012,425948.030998511,269617.042834733,517171.681918961,445130.434086773,713398.257471968,981927.895486949,707136.331916408,717042.776234842,366719.55232344,927160.395635264,519617.552210306,1020445.77481792,428932.218005019,796312.972934939,653302.769695189,690754.085007223,351999.282569615,660556.693970412,441604.348731873,649051.931750296,393561.656105264,500893.882940195,22993.67033246,41995.6253302594
"9","DO10631_normal",362900.495315445,719224.082629694,414874.420271673,555210.974565272,300529.302919032,644578.873696485,379391.759452341,613446.495521383,458705.786954464,626690.300064949,414599.908925515,487380.394434086,266172.28318783,638589.172457743,261045.301420781,401237.28589906,208892.925180089,461151.604635014,392518.852567239,373945.612066244,869286.198392533,1062252.72974673,263180.377041666,303250.63330882,428174.881472588,274582.245458304,475588.1266891,415464.369371717,651900.534077977,958723.084453743,731359.758295283,751300.642793219,387222.99813578,901526.738979631,477185.08003699,954748.026062562,409856.781764019,751982.704255668,584185.182426598,683642.873710725,321476.585257963,618486.831902697,384306.684189943,672797.126020518,379457.052051197,478004.519199089,23962.5346831302,32248.9464479715
"10","DO10631_tumor",362571.849573641,650914.325893352,364653.095698823,478694.814560875,281712.955608948,578329.798791395,409975.221793368,823248.103030439,417234.316749966,428311.543050722,380496.579752662,356356.221559364,332753.579868962,714624.428364779,221481.763086238,327139.164280414,153969.013661222,317202.271314454,337697.345324743,318889.309522697,752944.962762504,979853.243523777,356623.536845689,477326.534643546,443738.205853429,306277.257154584,444549.162320814,357132.701651395,695831.370614413,1018978.73444413,860206.048691504,883939.443846535,343534.86734082,974132.926985885,425338.269786241,883178.52597757,437516.428216517,822403.883861487,734298.100957529,912684.984155596,213766.776675176,686209.13818665,405139.073023093,663432.733792282,352300.417136344,606567.807066601,25422.250880395,28184.0130489279
